0.85	16.72	-79.475	-44.625	-70.775	-99	-99	-98.725	-99	-99	-99	-78.825	-92.05	-93.075	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-96.85	-99	-99	-89.525	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
0.79	20.68	-78	-50.575	-71.55	-97.025	-99	-96.825	-99	-99	-99	-80.325	-92.2	-86.925	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-96.275	-99	-99	-96.925	-97.7	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
5.37	20.85	-75.325	-54.275	-75.875	-98.625	-99	-99	-99	-99	-99	-79.15	-92.15	-94.275	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-97.4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
5.42	16.78	-78.95	-42.925	-72.65	-99	-99	-99	-99	-99	-99	-68.1	-91.075	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-95.875	-99	-99	-95.4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2.77	18.59	-77.325	-48.2	-74.65	-96.95	-99	-99	-99	-99	-99	-78.025	-88.325	-87.6	-95.6	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-94.2	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
5.42	14.29	-83.95	-55.375	-81.75	-99	-99	-99	-99	-99	-99	-66.075	-75.15	-91.475	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-91.2	-99	-99	-85.8	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
5.54	10	-87.275	-62.05	-79.45	-99	-99	-99	-99	-99	-99	-62.875	-74.5	-88.825	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-90.75	-93.725	-90.425	-99	-99	-78.55	-99	-99	-99	-99	-98.95	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
5.59	5.14	-94.475	-62.4	-80.6	-99	-99	-99	-99	-99	-99	-70.6	-86.025	-88.125	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-94.825	-94.825	-86.575	-99	-99	-70.925	-99	-99	-99	-99	-99	-95.75	-96.225	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
4.97	1.13	-99	-65.275	-82.125	-99	-99	-99	-99	-99	-99	-71.225	-89.075	-86.3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-91.375	-85.4	-99	-99	-78.825	-99	-99	-99	-99	-99	-99	-93.675	-93.375	-98.825	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
0.96	1.19	-99	-69.175	-83.025	-98.675	-99	-99	-99	-99	-99	-73.6	-89.4	-81.125	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-88.5	-86.95	-99	-99	-81.475	-99	-99	-99	-99	-95.15	-93.8	-91.35	-92.45	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
