4.75	31.3	-57.525	-79.75	-99	-99	-99
9.27	29.66	-51.45	-64.85	-99	-99	-99
5.59	25.08	-74.9	-59.925	-84.5	-97.3	-99
1.58	25.99	-74.6	-61.175	-83.25	-99	-99
0.85	22.77	-74.8	-57.5	-83.7	-99	-99
16.21	24.75	-59.6	-91.55	-96.425	-91	-99
15.25	31.69	-64.05	-95.85	-99	-84.15	-99
16.21	28.93	-60.025	-90.425	-99	-84.65	-99
19.21	29.21	-62.8	-96.55	-97.025	-84.125	-99
28.76	9.83	-97.95	-80.775	-69.725	-53.15	-74.675
23.56	14.41	-93.1	-79.2	-69.475	-54	-81.425
23.11	9.66	-97.4	-81.075	-70.3	-55.825	-76.625
26.16	12.03	-94.4	-80.375	-72.625	-55.175	-78.275
10.23	9.77	-82.025	-65.675	-51.975	-67.325	-87.9
0.85	16.72	-79.475	-44.625	-78.825	-92.05	-99
0.79	20.68	-78	-50.575	-80.325	-92.2	-99
5.37	20.85	-75.325	-54.275	-79.15	-92.15	-99
5.42	16.78	-78.95	-42.925	-68.1	-91.075	-99
2.77	18.59	-77.325	-48.2	-78.025	-88.325	-99
5.42	14.29	-83.95	-55.375	-66.075	-75.15	-99
5.54	10	-87.275	-62.05	-62.875	-74.5	-90.75
5.59	5.14	-94.475	-62.4	-70.6	-86.025	-94.825
4.97	1.13	-99	-65.275	-71.225	-89.075	-99
0.96	1.19	-99	-69.175	-73.6	-89.4	-99
0.9	5.42	-93.325	-63.65	-71.825	-83.2	-91.55
0.9	9.83	-87.825	-55.9	-67.525	-76.575	-87.275
0.9	14.29	-85	-58.475	-67.675	-73.8	-96.8
5.2	22.49	-69	-56.675	-81	-93.85	-99
12.99	35.99	-60.35	-81.975	-99	-99	-99
8.98	33.67	-55.05	-82.3	-99	-99	-99
8.98	38.19	-61.35	-85.7	-99	-99	-99
34.24	9.89	-94.825	-86.075	-75.725	-50.675	-77.95
34.29	14.29	-99	-82	-78.225	-46.5	-80.7
31.19	12.2	-97.85	-80.575	-75.6	-51.5	-80.275
28.81	14.41	-97.55	-83.625	-70.925	-52.175	-79.3
36.38	10.85	-99	-99	-80.025	-51.95	-71.675
14.29	37.8	-70	-87	-99	-95.2	-99
10.28	40.28	-70.95	-90.35	-99	-99	-99
29.44	5.82	-99	-90.525	-74.825	-63.35	-74.425
29.66	1.41	-99	-92.375	-76.725	-65.1	-77.625
33.5	3.73	-99	-91.55	-78.8	-66.325	-76.125
36.95	1.19	-99	-93.125	-79.775	-65.425	-69.075
36.5	5.76	-99	-93.475	-77.525	-60.375	-71.45
28.31	1.19	-99	-85.7	-73.6	-70.575	-81
28.42	6.05	-99	-88.85	-72	-63.25	-78.5
24.07	3.67	-99	-83.475	-72.375	-64.125	-80.775
20.45	1.58	-99	-86.6	-67.55	-64.075	-80.95
20.23	5.76	-99	-83.125	-69.225	-67.6	-79.075
21.41	10.06	-92.475	-71.725	-61.675	-63.175	-80.925
21.75	14.35	-84.325	-78.025	-65.225	-60.475	-82.1
16.16	14.52	-94.975	-73.975	-63.275	-66.425	-83.675
19.1	12.32	-88	-71.4	-63.475	-64	-85.85
12.2	27.12	-55.075	-85.9	-99	-85.475	-99
17.97	36.16	-68.375	-93.2	-99	-83.525	-99
21.92	33.9	-67.6	-99	-99	-80.875	-99
17.63	32.71	-65.525	-95.3	-99	-83.675	-99
16.27	9.77	-91.35	-70.6	-57.475	-67.25	-83.825
13.28	12.03	-85.6	-65.525	-59.825	-61.95	-83.225
10.51	13.33	-84.85	-60.825	-59.95	-64.175	-89.125
3.05	12.15	-93.925	-54.7	-66.025	-74.65	-94.425
3.16	7.68	-88.95	-61.7	-61.575	-75.675	-80.55
3.11	3.5	-90.55	-66.325	-70.35	-85.9	-99
16.21	37.06	-60.4	-74.725	-86.2	-93.175	-99
13.28	32.15	-51.8	-77.175	-89.875	-96.5	-99
10.96	28.64	-38.6	-67.85	-83.8	-94.475	-99
9.6	25.65	-53.9	-65.625	-80.85	-97.95	-99
8.02	23.33	-59.025	-59.8	-77.8	-92.6	-99
7.97	19.77	-65.825	-58.475	-73.975	-86.925	-99
7.97	16.16	-69.025	-52.725	-63.425	-76.225	-99
7.97	7.63	-78.5	-65.95	-53.775	-73.15	-73.6
11.58	7.74	-85.1	-70.55	-44.575	-71.525	-72.6
37.46	7.8	-99	-92.575	-66.825	-58.025	-56.975
7.85	11.81	-74.05	-57.125	-62.725	-67.475	-99
16.38	7.85	-86.95	-72.775	-52.325	-72.775	-72.4
21.53	7.68	-96.75	-78.8	-58.7	-64.55	-67.3
27.74	7.8	-99	-83.9	-61.075	-59.475	-68.525
33.16	7.8	-99	-86.5	-64.35	-60.35	-61.55
10.56	5.59	-87.8	-75.475	-53.075	-75.925	-83.4
10.34	1.24	-96.225	-79.825	-56.375	-77.7	-88.375
14.58	3.39	-97.625	-77.525	-53.6	-71.975	-87.3
18.31	5.65	-99	-75.525	-59.1	-72.8	-81.4
18.08	2.26	-99	-79.175	-59.525	-72.425	-86.85
